ride_id,driver_id,distance_km,fare_usd,ride_type,city,timestamp
1,1018,22.1,24.9,pool,Berlin,2025-01-01 00:00:00
2,1048,22.02,39.92,premium,Seoul,2025-01-01 00:01:00
3,1010,19.48,71.91,pool,Toronto,2025-01-01 00:02:00
4,1016,10.84,17.67,pool,Seoul,2025-01-01 00:03:00
5,1038,7.5,71.89,premium,Lima,2025-01-01 00:04:00
6,1034,14.56,10.09,premium,Nairobi,2025-01-01 00:05:00
7,1025,22.71,71.45,pool,Seoul,2025-01-01 00:06:00
8,1044,6.32,18.01,standard,Lima,2025-01-01 00:07:00
9,1035,1.7,33.34,premium,Nairobi,2025-01-01 00:08:00
10,1026,4.05,9.78,premium,Nairobi,2025-01-01 00:09:00
11,1002,4.74,33.71,premium,Berlin,2025-01-01 00:10:00
12,1046,14.47,56.45,standard,Seoul,2025-01-01 00:11:00
13,1037,11.33,29.51,premium,Berlin,2025-01-01 00:12:00
14,1013,27.66,58.92,premium,Nairobi,2025-01-01 00:13:00
15,1010,7.04,36.5,standard,Toronto,2025-01-01 00:14:00
16,1009,12.04,55.95,standard,Toronto,2025-01-01 00:15:00
17,1011,1.62,42.72,standard,Toronto,2025-01-01 00:16:00
18,1002,2.74,40.99,standard,Nairobi,2025-01-01 00:17:00
19,1032,25.3,69.37,standard,Lima,2025-01-01 00:18:00
20,1019,21.36,13.33,pool,Seoul,2025-01-01 00:19:00
21,1021,3.7,52.75,standard,Lima,2025-01-01 00:20:00
22,1019,23.95,48.74,premium,Toronto,2025-01-01 00:21:00
23,1011,12.5,7.35,premium,Lima,2025-01-01 00:22:00
24,1022,5.21,11.39,pool,Nairobi,2025-01-01 00:23:00
25,1011,29.56,52.48,premium,Toronto,2025-01-01 00:24:00
26,1001,4.45,18.9,premium,Nairobi,2025-01-01 00:25:00
27,1018,5.09,34.05,standard,Lima,2025-01-01 00:26:00
28,1024,25.76,69.43,standard,Lima,2025-01-01 00:27:00
29,1028,22.1,32.99,premium,Nairobi,2025-01-01 00:28:00
30,1011,3.0,74.54,standard,Lima,2025-01-01 00:29:00
31,1040,19.02,15.32,premium,Seoul,2025-01-01 00:30:00
32,1012,13.56,47.09,pool,Berlin,2025-01-01 00:31:00
33,1022,26.73,18.34,premium,Seoul,2025-01-01 00:32:00
34,1034,18.92,32.08,standard,Nairobi,2025-01-01 00:33:00
35,1039,20.16,47.73,premium,Nairobi,2025-01-01 00:34:00
36,1035,14.76,24.52,standard,Berlin,2025-01-01 00:35:00
37,1005,1.15,51.26,standard,Toronto,2025-01-01 00:36:00
38,1024,12.15,13.25,standard,Seoul,2025-01-01 00:37:00
39,1021,9.59,45.48,pool,Seoul,2025-01-01 00:38:00
40,1049,16.94,49.22,pool,Nairobi,2025-01-01 00:39:00
41,1024,14.93,28.5,premium,Berlin,2025-01-01 00:40:00
